number,artist,title,time,bpm,year,genre,genre_combined,decade,track,track_gen,url,lyrics
1,Bob Dylan,Like a Rolling Stone,6M 4S,95.6,1965,Rock 1960s,Rock,1960s,POWERTRK_155-14,POWERTRK_155,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_155/POWERTRK_155-14.html,"Once upon a time you dressed so fine Threw the bums a dime in your prime, didn't you? People call, say, ""Beware doll, you're bound to fall"" You thought they were all kiddin' you You used to laugh about Everybody that was hangin' out Now you don't talk so loud Now you don't seem so proud About having to be scrounging your next meal How does it feel How does it feel To be without a home Like a complete unknown Like a rolling stone? Ah, you've gone to the finest school all right, Miss Lonely But you know you only used to get juiced in it Nobody's ever taught you how to live out on the street And now you're gonna have to get used to it You say you never compromise With the mystery tramp, but now you realize He's not selling any alibis As you stare into the vacuum of his eyes And say, ""Do you want to make a deal?"" How does it feel How does it feel To be on your own With no direction home A complete unknown Like a rolling stone? Ah, you never turned around to see the frowns on the jugglers and the clowns When they all did tricks for you You never understood that it ain't no good You shouldn't let other people get your kicks for you You used to ride on the chrome horse with your diplomat Who carried on his shoulder a Siamese cat Ain't it hard when you discover that He really wasn't where it's at After he took from you everything he could steal? How does it feel How does it feel To have on your own With no direction home Like a complete unknown Like a rolling stone? Ah, princess on the steeple and all the pretty people They're all drinkin', thinkin' that they got it made Exchanging all precious gifts But you'd better take your diamond ring, you'd better pawn it babe You used to be so amused At Napoleon in rags and the language that he used Go to him now, he calls you, you can't refuse When you ain't got nothin', you got nothin' to lose You're invisible now, you got no secrets to conceal How does it feel Ah, how does it feel To be on your own With no direction home Like a complete unknown Like a rolling stone?"
2,The Rolling Stones,Satisfaction,3M 43S,134.7,1985,Rock 1980s,Rock,1980s,ESSENTLS_012-13,ESSENTLS_012,https://cs.uwaterloo.ca/~dtompkin/music/track/ESSENTLS_012/ESSENTLS_012-13.html,"I can't get no satisfaction I can't get no satisfaction 'Cause I try, and I try, and I try, and I try I can't get no, I can't get no When I'm drivin' in my car And a man comes on the radio He's tellin' me more and more About some useless information Supposed to fire my imagination I can't get no, oh no, no, no Hey, hey, hey, that's what I say I can't get no satisfaction I can't get no satisfaction 'Cause I try, and I try, and I try, and I try I can't get no, I can't get no When I'm watchin' my TV And a man comes on and tells me How white my shirts can be Well he can't be a man 'cause he doesn't smoke The same cigarettes as me I can't get no, oh no, no, no Hey, hey, hey, that's what I say I can't get no satisfaction I can't get no girl reaction 'Cause I try, and I try, and I try, and I try I can't get no, I can't get no When I'm ridin' 'round the world And I'm doin' this and I'm signin' that And I'm tryin' to make some girl Who tells me, ""baby better come back later next week 'Cause you see I'm on a losin' streak"" I can't get no, oh no, no, no Hey, hey, hey, that's what I say I can't get no, I can't get no I can't get no Satisfaction, no satisfaction, no satisfaction, no satisfaction I can't get no"
3,John Lennon,Imagine,3M 2S,152.6,1971,Slow,Slow,NA,POWERTRK_023-07,POWERTRK_023,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_023/POWERTRK_023-07.html,Imagine there's no heaven It's easy if you try No hell below us Above us only sky Imagine all the people Living for today Imagine there's no countries It isn't hard to do Nothing to kill or die for And no religion too Imagine all the people Living life in peace You may say I'm a dreamer But I'm not the only one I hope someday you'll join us And the world will be as one Imagine no possessions I wonder if you can No need for greed or hunger A brotherhood of man Imagine all the people Sharing all the world... You may say I'm a dreamer But I'm not the only one I hope someday you'll join us And the world will live as one
4,Marvin Gaye,What's Going On,3M 47S,101.5,1971,Dance 1970s,Dance,1970s,POWERTRK_085-07,POWERTRK_085,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_085/POWERTRK_085-07.html,"Mother, mother There's too many of you crying Brother, brother, brother There's far too many of you dying You know we've got to find a way To bring some loving here today Father, father We don't need to escalate You see, war is not the answer For only love can conquer hate You know we've got to find a way To bring some loving here today Picket lines and picket signs Don't punish me with brutality Talk to me, so you can see What's going on, what's going on What's going on, what's going on Mother, mother Everybody thinks we're wrong But who are they to judge us Simply 'cos our hair is long You know we've got to find a way To bring some loving here today Picket lines and picket signs Don't punish me with brutality Talk to me, so you can see What's going on, what's going on Tell me what's going on I'll tell you what's going on"
5,Aretha Franklin,Respect,2M 23S,114.5,1967,Rock 1960s,Rock,1960s,POWERTRK_046-16,POWERTRK_046,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_046/POWERTRK_046-16.html,"(ooo) What you want (ooo) Baby, I got it (ooo) What you need (ooo) do you know I got it (ooo) All I'm askin' (ooo) Is for a little respect when you get home (just a little bit) Hey baby (just a little bit) when you get home (just a little bit) mister (just a little bit) I ain't gonna do you wrong while you're gone Ain't gonna do you wrong (ooo) 'cause I don't wanna (ooo) All I'm askin' (ooo) Is for a little respect when you come home (just a little bit) Baby (just a little bit) when you get home (just a little bit) Yeah (just a little bit) I'm about to give you all of my money And all I'm askin' in return, honey Is to give me my propers When you get home (just a, just a, just a, just a) Yeah baby (just a, just a, just a, just a) When you get home (just a little bit) Yeah (just a little bit) Ooo, your kisses (ooo) Sweeter than honey (ooo) And guess what? (ooo) So is my money (ooo) All I want you to do (ooo) for me Is give it to me when you get home (re, re, re ,re) Yeah baby (re, re, re ,re) Whip it to me (respect, just a little bit) When you get home, now (just a little bit) R-E-S-P-E-C-T Find out what it means to me R-E-S-P-E-C-T Take care... T-C-B* Oh (sock it to me, sock it to me, sock it to me, sock it to me) A little respect (sock it to me, sock it to me, sock it to me, sock it to me) Whoa, yeah (just a little bit) A little respect (just a little bit) I get tired (just a little bit) I keep on tryin' (just a little bit) You're runnin' out of fools (just a little bit) And I ain't lyin' (just a little bit) (re, re, re, re) Repect when you come home (re, re, re ,re) Or you just might walk in (respect, just a little bit) And find out I'm gone (just a little bit) *""TCB"" is short for Taking Care of Business."
6,The Beach Boys,Good Vibrations,3M 36S,148.8,1966,Rock 1960s,Rock,1960s,POWERTRK_032-08,POWERTRK_032,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_032/POWERTRK_032-08.html,"I, I love the colorful clothes she wears And the way the sunlight plays upon her hair I hear the sound of a gentle word On the wind that lifts her perfume through the air I'm pickin' up good vibrations She's giving me excitations (Oom bop bop) I'm pickin' up good vibrations (Good vibrations, oom bop bop) She's giving me excitations (Excitations, oom bop bop) Good, good, good, good vibrations (Om bop bop) She's giving me excitations (Excitations, oom bop bop) Good, good, good, good vibrations (Om bop bop) She's giving me excitations (Excitations) Close my eyes, she's somehow closer now Softly smile, I know she must be kind When I look in her eyes She goes with me to a blossom world I'm pickin' up good vibrations She's giving me excitations (Oom bop bop) I'm pickin' up good vibrations (Good vibrations, oom bop bop) She's giving me excitations (Excitations, oom bop bop) Good, good, good, good vibrations (Om bop bop) She's giving me excitations (Excitations, oom bop bop) Good, good, good, good vibrations (Om bop bop) She's giving me excitations (Excitations) (Tations) (Ahhhhhhh) (Ah, my my, what elation) I don't know where but she sends me there (Ah, my my, what a sensation) (Ah, my my, what elation) (Ah, my my, what) Gotta keep those lovin' good vibrations a-happenin' with her Gotta keep those lovin' good vibrations a-happenin' with her Gotta keep those lovin' good vibrations a-happenin' (Ahhhhhhh) Good, good, good, good vibrations (Om bop bop) (I'm pickin' up good vibrations) (Om bop bop) She's giving me excitations (Excitations, om bop bop) Good, good, good, good vibrations Na na na na na, na na na Na na na na na, na na na (Bop bop-bop-bop-bop, bop) Do do do do do, do do do (Bop bop-bop-bop-bop, bop) Do do do do do, do do do (Bop bop-bop-bop-bop, bop)"
7,Chuck Berry,Johnny B. Goode,2M 38S,84.1,1958,Rock 1950s,Rock,1950s,POWERTRK_021-12,POWERTRK_021,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_021/POWERTRK_021-12.html,"Deep down in Louisiana close to New Orleans Way back up in the woods among the evergreens There stood a log cabin made of earth and wood Where lived a country boy named Johnny B. Goode Who never ever learned to read or write so well But he could play a guitar just like a ringing a bell Go go Go Johnny go! Go Go Johnny go! Go Go Johnny go! Go Go Johnny go! Go Johnny B. Goode! He used to carry his guitar in a gunny sack Go sit beneath the tree by the railroad track Oh, the engineer would see him sitting in the shade Strumming with the rhythm that the drivers made The people passing by, they would stop and say Oh my, but that little country boy could play Go go Go Johnny go! Go Go Johnny go! Go Go Johnny go! Go Go Johnny go! Go Johnny B. Goode! His mother told him ""Someday you will be a man, And you will be the leader of a big ol' band. Many people coming from miles around To hear you play your music when the sun go down Maybe someday your name'll be in lights Saying Johnny B. Goode tonight."" Go go Go Johnny go Go go go Johnny go Go go go Johnny go Go go go Johnny go Go Johnny B. Goode"
8,The Beatles,Hey Jude,7M 8S,146.9,1969,Rock 1960s,Rock,1960s,BEATLES__BLA-13,BEATLES__BLA,https://cs.uwaterloo.ca/~dtompkin/music/track/BEATLES__BLA/BEATLES__BLA-13.html,"Hey, Jude, don't make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it better Hey, Jude, don't be afraid You were made to go out and get her The minute you let her under your skin Then you begin to make it better And any time you feel the pain Hey, Jude, refrain Don't carry the world upon your shoulder For well you know that it's a fool Who plays it cool By making his world a little colder Na na na naa-naa na-na-naa naaa Hey, Jude, don't let me down You have found her, now go and get her (Let it out and let it in) Remember (hey, Jude) to let her into your heart Then you can start to make it better So let it out and let it in Hey, Jude, begin You're waiting for someone to perform with And don't you know that it's just you Hey, Jude, you'll do The movement you need is on your shoulder Na na na naa-naa na-na-naa naaa Yeah Hey, Jude, don't make it bad Take a sad song And make it better Remember to let her under your skin Then you begin To make it better Better, better, better, better, better Whoa! Yeah Na na na na-na-na-naa (yeah, yeah, yeah, yeah, yeah, yeah) Na-na-na-naa, hey, Jude Na na na na-na-na-naa Na-na-na-naa, hey, Jude Na na na na-na-na-naa Na-na-na-naa, hey, Jude Na na na na-na-na-naa Na-na-na-naa, hey, Jude Jude, Judy, Judy, Judy, Judy, Judy Ow! wow! Na na na na-na-na-naa Ow, ooh, my, my, my Na-na-na-naa, hey, Jude Jude, Jude, Jude, Jude, Jude Na na na na-na-na-naa Yeah, yeah, yeah Na-na-na-naa, hey, Jude Yeah, you know you can make it, Jude Jude, you're not gonna break it Na na na (don't make it bad, Jude) na-na-na-naa Take a sad song and make it better Na-na-na-naa, (oh, Jude) hey, (Jude) Jude Hey, Jude, wo-o-ow! Na na na na-na-na-naa (ooh, Jude) Na-na-na-naa, (yeah) hey, Jude (Hey, hey, hey-ey-ey) Na na na na-na-na-naa (hey, hey) Na-na-na-naa, (hey, hey) hey, Jude Now, Jude, Jude, Jude, Jude, Jude, Jude Yeah, yeah, yeah, yeah, yeah Na na na na-na-na-naa (whoa, yeah) Na-na-na-naa, hey, Jude Ah nanananananana cause I wanna na na na Na na na na-na-na-naa Na-na-na-naa, hey, Jude Nanananana… nanalalal ow ow (Okay) Na na na na-na-na-naa Pain won't come back, Jude Na-na-na-naa, hey, Jude Na na na na-na-na-naa Na-na-na-naa, hey, Jude (Yeah) Na na na na-na-na-naa (Make it through) Na-na-na-naa, hey, Jude Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah Na na na na-na-na-naa (yeah, yeah, yeah, yeah, yeah) Na-na-na-naa, hey, Jude (Good evening, ladies and gentleman) ma ma ma ma ma ma ma ma ma ma Na na na na-na-na-naa Na-na-na-naa, hey, Jude (Ooh) Na na na na-na-na-naa (whoo) Na-na-na-naa, hey, Jude (Whoo) (Well, then, a-na) Na na na na-na-na-naa Na-na-na-naa, hey, Jude Na na na na-na-na-naa Na-na-na-naa"
9,Nirvana,Smells Like Teen Spirit,5M 1S,117.5,1991,Rock 1990s,Rock,1990s,POWERTRK_022-01,POWERTRK_022,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_022/POWERTRK_022-01.html,"Load up on guns, bring your friends, It's fun to lose and to pretend. She's over-bored and self-assured, Oh, no, I know a dirty word. Hello, hello, hello, how low? Hello, hello, hello, how low? Hello, hello, hello, how low? Hello, hello, hello... With the lights out, it's less dangerous, Here we are now, entertain us. I feel stupid and contagious, Here we are now, entertain us. A mulatto, an albino, A mosquito, my libido... Yeah, hey, yay... I'm worse at what I do best, And for this gift, I feel blessed. Our little group has always been, And always will until the end. Hello, hello, hello, how low? Hello, hello, hello, how low? Hello, hello, hello, how low? Hello, hello, hello... With the lights out, it's less dangerous, Here we are now, entertain us. I feel stupid and contagious, Here we are now, entertain us. A mulatto, an albino, A mosquito, my libido... Yeah, hey, yay... And I forget just why I taste, Oh, yeah, I guess it makes me smile. I found it hard, it's hard to find, Oh, well, whatever, never mind. Hello, hello, hello, how low? Hello, hello, hello, how low? Hello, hello, hello, how low? Hello, hello, hello... With the lights out, it's less dangerous, Here we are now, entertain us. I feel stupid and contagious, Here we are now, entertain us. A mulatto, an albino, A mosquito, my libido... A denial, a denial A denial, a denial A denial, a denial A denial, a denial A denial"
10,Ray Charles,What'd I Say (Parts 1 And 2),5M 6S,89.6,1959,Rock 1950s,Rock,1950s,POWERTRK_071-16,POWERTRK_071,https://cs.uwaterloo.ca/~dtompkin/music/track/POWERTRK_071/POWERTRK_071-16.html,"Hey mama, don't you treat me wrong Come and love your daddy all night long All right, hey, hey, all right now See the girl with the diamond ring She knows how to shake that thing All right, hey, hey, Mmm, all right now Ahhh, Ohh, Ahhh, Ohh, Ahhh, Ohh, Ohh Make me feel so good, make me feel so good right now Make me feel so good, make me feel so good right now Make me feel so good, make me feel so good Mmm, see the girl with the red dress on She can do the dog all night long All right, hmm what'd I say, tell me what'd I say Tell me what'd I say, tell me what'd I say right now Tell me what'd I say, tell me what'd I say right now Tell me what'd I say, tell me what'd I say Ahhh, Ohh, Ahhh, Ohh, Ahhh, Ohh, Ohh It's all right, It's all right right now Baby, it's all right, Baby, it's all right right now Baby, it's all right, Oh yeah! Baby shake that thing, baby shake that thing right now Baby shake that thing, baby shake that thing right now Baby shake that thing, well I feel all right"
